
Standard & Poors 500 Index,Last: 4252.73,Change:  -5.46
Date: 2023年10月6日 GMT-4 11:20,Bid: 4251.6602,Ask: 4253.7402,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Oct 06 2023,SPXW231006C04240000,18.7,-12.35,19,19.1,13217,0.2953,0.6647,0.0124,936,4240.00,SPXW231006P04240000,6.51,-5.49,6.5,6.6,8285,0.292,-0.3353,0.0124,2019
Fri Oct 06 2023,SPXW231006C04245000,15.5,-12.4,15.6,15.8,11110,0.2913,0.6024,0.0133,589,4245.00,SPXW231006P04245000,8.3,-5.5,8.1,8.3,6504,0.2869,-0.3976,0.0133,1352
Fri Oct 06 2023,SPXW231006C04250000,12.5,-12.4,12.6,12.8,24580,0.2857,0.5352,0.0139,2603,4250.00,SPXW231006P04250000,10.3,-5.45,10.1,10.3,11255,0.2827,-0.4648,0.0139,7527
Fri Oct 06 2023,SPXW231006C04255000,10.1,-11.95,10,10.2,12414,0.2817,0.4651,0.0141,717,4255.00,SPXW231006P04255000,12.6,-5.3,12.5,12.7,2929,0.2787,-0.5349,0.0141,1300
Fri Oct 06 2023,SPXW231006C04260000,7.9,-11.5,7.7,7.9,15808,0.2802,0.3949,0.0137,2130,4260.00,SPXW231006P04260000,15.4,-4.9,15.2,15.4,2987,0.2758,-0.6051,0.0137,1635
Fri Oct 06 2023,SPXW231006C04265000,5.9,-11.1,5.9,6.1,16451,0.2774,0.3273,0.013,2887,4265.00,SPXW231006P04265000,18.7,-4.2,18.4,18.6,899,0.2741,-0.6727,0.013,2199
Mon Oct 09 2023,SPXW231009C04240000,28.1,-9.5,28.4,28.7,686,0.1368,0.5928,0.0071,154,4240.00,SPXW231009P04240000,16.3,-2.2,15.9,16.1,907,0.1367,-0.4067,0.0071,643
Mon Oct 09 2023,SPXW231009C04245000,25.1,-9.4,25.4,25.6,688,0.1355,0.5575,0.0073,182,4245.00,SPXW231009P04245000,18.5,-1.9,17.9,18.1,432,0.1355,-0.442,0.0073,299
Mon Oct 09 2023,SPXW231009C04250000,22.5,-9,22.5,22.8,2067,0.1347,0.5211,0.0074,515,4250.00,SPXW231009P04250000,20.4,-2.05,20,20.2,580,0.1344,-0.4784,0.0074,3244
Mon Oct 09 2023,SPXW231009C04255000,20,-8.65,19.9,20.1,520,0.1334,0.484,0.0075,227,4255.00,SPXW231009P04255000,22.8,-1.75,22.3,22.5,397,0.133,-0.5155,0.0075,589
