job,marital,default,housing,loan,poutcome,y
blue-collar,married,unknown,yes,no,nonexistent,0
technician,married,no,no,no,nonexistent,0
management,single,no,yes,no,success,1
services,married,no,no,no,nonexistent,0
retired,married,no,yes,no,success,1
management,divorced,no,yes,no,nonexistent,0
blue-collar,married,no,yes,no,nonexistent,0
blue-collar,divorced,no,yes,no,nonexistent,0
admin.,married,no,no,no,success,1
blue-collar,single,no,yes,no,failure,0
housemaid,single,no,no,no,nonexistent,0
management,married,no,yes,no,nonexistent,0
management,married,no,no,no,nonexistent,1
services,divorced,no,yes,no,nonexistent,0
admin.,married,no,no,yes,nonexistent,0
services,married,unknown,yes,no,nonexistent,0
services,married,no,no,no,nonexistent,1
admin.,single,no,no,no,nonexistent,1
blue-collar,married,unknown,no,no,nonexistent,0
unemployed,single,no,yes,yes,nonexistent,0
unemployed,married,unknown,yes,no,failure,0
blue-collar,single,no,no,yes,nonexistent,0
admin.,married,unknown,yes,no,nonexistent,0
technician,single,no,no,no,nonexistent,0
blue-collar,married,no,yes,yes,nonexistent,0
entrepreneur,single,no,yes,no,nonexistent,0
technician,divorced,no,yes,yes,nonexistent,0
admin.,married,no,yes,no,success,0
blue-collar,married,unknown,yes,no,nonexistent,0
blue-collar,single,unknown,no,no,nonexistent,0
services,divorced,no,no,no,nonexistent,0
admin.,married,no,no,no,nonexistent,0
technician,married,no,yes,no,nonexistent,0
technician,married,no,yes,no,nonexistent,1
services,divorced,unknown,no,no,nonexistent,0
blue-collar,married,unknown,no,no,failure,0
blue-collar,married,no,yes,yes,nonexistent,0
technician,married,unknown,no,no,failure,0
blue-collar,married,no,yes,no,nonexistent,0
management,married,no,yes,yes,nonexistent,0
blue-collar,married,no,no,no,nonexistent,0
blue-collar,married,no,yes,no,nonexistent,0
blue-collar,married,no,no,no,nonexistent,0
retired,divorced,no,yes,no,nonexistent,1
blue-collar,married,unknown,no,no,nonexistent,0
management,married,unknown,yes,no,nonexistent,0
housemaid,married,no,yes,no,nonexistent,0
entrepreneur,married,no,yes,no,failure,0
retired,married,unknown,yes,no,nonexistent,0
blue-collar,married,unknown,yes,no,nonexistent,0
admin.,single,no,yes,no,nonexistent,0
technician,married,unknown,no,no,nonexistent,0
blue-collar,married,unknown,yes,yes,failure,0
blue-collar,married,unknown,no,no,nonexistent,0
management,married,no,yes,no,nonexistent,0
blue-collar,married,no,no,no,nonexistent,0
management,single,no,yes,no,failure,0
admin.,married,no,no,yes,nonexistent,0
blue-collar,married,no,yes,no,nonexistent,0
