Date,Price
10/30/2017,69.51
10/27/2017,69.39
10/26/2017,67.6
10/25/2017,66.42
10/24/2017,66.29
10/23/2017,65.39
10/20/2017,64.9
10/19/2017,63.97
10/18/2017,64.97
10/17/2017,65.14
10/16/2017,64.97
10/13/2017,64.36
10/12/2017,63.17
10/11/2017,64.12
10/10/2017,63.63
10/9/2017,62.16
10/6/2017,61.86
10/5/2017,63.77
10/4/2017,62.39
10/3/2017,62.97
10/2/2017,63.29
9/29/2017,64.5
9/28/2017,64.13
9/27/2017,64.78
9/26/2017,64.25
9/25/2017,64.1
9/22/2017,62.07
9/21/2017,61.89
9/20/2017,61.78
9/19/2017,60.75
9/18/2017,61.05
9/15/2017,60.88
9/14/2017,60.88
9/13/2017,60.22
9/12/2017,58.66
9/11/2017,58.29
9/8/2017,57.62
9/7/2017,59.61
9/6/2017,60.12
9/5/2017,60.21
9/1/2017,58.56
8/31/2017,59.16
8/30/2017,57.98
8/29/2017,58.18
8/28/2017,58.18
8/25/2017,59.4
8/24/2017,59.16
8/23/2017,60.63
8/22/2017,59.86
8/21/2017,59.56
8/18/2017,60.98
8/17/2017,59.59
8/16/2017,59.46
8/15/2017,60.65
8/14/2017,60.47
8/11/2017,61.93
8/10/2017,61.81
8/9/2017,62.96
8/8/2017,62.33
8/7/2017,62.63
8/4/2017,62.76
8/3/2017,61.62
8/2/2017,62.22
8/1/2017,61.61
7/31/2017,62.65
7/28/2017,61.84
7/27/2017,61.41
7/26/2017,60.99
7/25/2017,59.74
7/24/2017,57.82
7/21/2017,57.24
7/20/2017,58.87
7/19/2017,59.36
7/18/2017,58.71
7/17/2017,58.35
7/14/2017,58.89
7/13/2017,58.69
7/12/2017,57.88
7/11/2017,58.23
7/10/2017,57.19
7/7/2017,56.88
7/6/2017,58.92
7/5/2017,58.6
7/3/2017,61.19
6/30/2017,59.81
6/29/2017,58.52
6/28/2017,58.38
6/27/2017,58.37
6/26/2017,57.45
6/23/2017,56.77
6/22/2017,56.31
6/21/2017,56.42
6/20/2017,57.37
6/19/2017,58.43
6/16/2017,59.2
