x,y
0.0416966,0.665859
0.0544745,0.491306
0.107657,0.871762
0.124824,0.820919
0.216951,0.915802
0.33198,1.21738
0.335408,1.11215
0.403256,1.15833
0.413201,1.41213
0.418807,1.43192
0.438141,1.38773
0.518036,1.53388
0.529817,1.34692
0.540937,1.49843
0.578859,1.61117
0.595052,1.71348
0.622519,1.88354
0.645355,1.73875
0.709132,1.84025
0.718637,2.03284
0.735882,1.95909
0.736407,1.83595
0.802171,0.5
0.819858,2.05397
0.821229,2.08631
0.823759,2.04417
0.876268,2.28841
0.89286,0.6
0.957647,2.37774
0.990224,2.52009
